ID,sequence,objects,coordinates,table_end,start_coordinates,strong_k,mid_k,no_k,food_k,containment,error,length
89,copcogpgwwffkkssrr,"c,o,p,c,o,g,p,g,w,w,f,f,k,k,s,s,r,r","c: (-0.66,0.9232809999999999,0.438);o: (-0.18499200000000002,0.915077,0.481025);p: (0.008034,0.957082,0.6890539999999999);c: (-0.525007,0.923283,0.438);o: (-0.185,0.928,0.48103500000000005);g: (0.393111,0.745051,-0.593776);p: (0.008001000000000001,0.902166,0.689002);g: (-0.8379989999999999,1.233,0.468999);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);f: (-0.165225,0.7442479999999999,0.557615);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662);k: (-0.030993,0.7334229999999999,0.530651);s: (0.10966,0.7466,0.505875);s: (0.071911,0.746328,0.519848);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
93,ppgsfkskfg,"p,p,g,s,f,k,s,k,f,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);g: (-0.595001,1.233,0.468999);s: (0.146585,0.7467189999999999,0.516146);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);s: (0.10966,0.7466,0.505875);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);g: (-0.7159989999999999,1.23301,0.469001)","(0.513, -0.531)",,,,,0,,,
99,wgptocccooppwwgg,"w,g,p,t,o,c,c,c,o,o,p,p,w,w,g,g","w: (0.083,1.35572,0.466);g: (-0.595001,1.233,0.468999);p: (0.008034,0.957082,0.6890539999999999);t: (-0.649,1.52939,0.68);o: (-0.185,0.928,0.48103500000000005);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);c: (-0.7949970000000001,0.9232809999999999,0.438);o: (-0.18499200000000002,0.902176,0.48100600000000004);o: (-0.18499200000000002,0.915077,0.481025);p: (0.008001000000000001,0.902166,0.689002);p: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.7159989999999999,1.23301,0.469001);g: (-0.8379989999999999,1.233,0.468999)","(0.513, -0.531)",,,,,0,,,
100,powcgre,"p,o,w,c,g,r,e","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o1: (-0.18499200000000002,0.915077,0.481025);w: (0.083,1.35572,0.466);w1: (-0.05700499999999999,1.35572,0.46601800000000004);c: (-0.525007,0.923283,0.438);c1: (-0.66,0.9232809999999999,0.438);g: (-0.595001,1.233,0.468999);g1: (-0.7159989999999999,1.23301,0.469001);r: (-0.500441,0.743324,0.5217109999999999);r1: (-0.606068,0.743321,0.524829);e: (-0.7940520000000001,0.7428739999999999,0.503884);e1: (-0.765776,0.742873,0.515548)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,c,g,r,e",0,0,0.756,7
102,perkscwgtf,"p,e,r,k,s,c,w,g,t,f","p: (0.008034,0.957082,0.6890539999999999);e: (-0.765776,0.742873,0.515548);r: (-0.500441,0.743324,0.5217109999999999);k: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);c: (-0.525007,0.923283,0.438);w: (-0.196022,1.35572,0.466005);g: (-0.595001,1.233,0.468999);t: (-0.649,1.52939,0.68);f: (-0.165225,0.7442479999999999,0.557615)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","e,r,k,s,c,w,g,f",0,0,0.824,10
106,ppccggwwoorrkfkfss,"p,p,c,c,g,g,w,w,o,o,r,r,k,f,k,f,s,s","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);c: (-0.66,0.9232809999999999,0.438);c: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);w: (-0.05700499999999999,1.35572,0.46601800000000004);w: (-0.196022,1.35572,0.466005);o: (-0.18499200000000002,0.915077,0.481025);o: (-0.185,0.928,0.48103500000000005);r: (-0.49874300000000005,0.743328,0.510292);r: (-0.604414,0.7432949999999999,0.5142939999999999);k: (-0.031067,0.733433,0.53156);f: (-0.251917,0.744236,0.558825);k: (-0.077052,0.733436,0.532504);f: (-0.20815999999999998,0.744224,0.558847);s: (0.145366,0.746552,0.517574);s: (0.108329,0.74661,0.5069819999999999)","(0.513, -0.531)",,,,,0,,,
108,popoccggkkrr,"p,o,p,o,c,c,g,g,k,k,r,r","p: (0.008034,0.957082,0.6890539999999999);o: (-0.185,0.928,0.48103500000000005);p: (0.008041,0.9296049999999999,0.68902);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);k: (-0.030993,0.7334229999999999,0.530651);k: (-0.07699199999999999,0.733425,0.531662);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
109,pwtggccfkfkssrr,"p,w,t,g,g,c,c,f,k,f,k,s,s,r,r","p: (0.008034,0.957082,0.6890539999999999);w: (-0.05700499999999999,1.35572,0.46601800000000004);t: (-0.649,1.52939,0.68);g: (-0.7159989999999999,1.23301,0.469001);g: (-0.595001,1.233,0.468999);c: (-0.525007,0.923283,0.438);c: (-0.7949970000000001,0.9232809999999999,0.438);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);s: (0.10966,0.7466,0.505875);s: (0.071911,0.746328,0.519848);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
114,pocwkf,"p,o,c,w,k,f","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o1: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c1: (-0.66,0.9232809999999999,0.438);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004);k: (-0.030993,0.7334229999999999,0.530651);k1: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);f1: (-0.165225,0.7442479999999999,0.557615)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,w,k,f",0,0,0.723,6
116,ppgggkfkf,"p,p,g,g,g,k,f,k,f","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);g: (-0.8379989999999999,1.233,0.468999);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671)","(0.513, -0.531)",,,,,0,,,
118,cwopg,"c,w,o,p,g","c: (-0.66,0.9232809999999999,0.438);w: (-0.196022,1.35572,0.466005);o: (-0.185,0.928,0.48103500000000005);p: (0.008034,0.957082,0.6890539999999999);g: (0.241356,0.78465,-0.5846140000000001)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,w,g",0,0,0.666,5
120,ppoowwccggkfkfrr,"p,p,o,o,w,w,c,c,g,g,k,f,k,f,r,r","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);w: (0.083,1.35572,0.466);w: (-0.196022,1.35572,0.466005);c: (-0.66,0.9232809999999999,0.438);c: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);g: (-0.8379989999999999,1.233,0.468999);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
128,wwppggffkssk,"w,w,p,p,g,g,f,f,k,s,s,k","w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);f: (-0.165225,0.7442479999999999,0.557615);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);s: (0.10966,0.7466,0.505875);s: (0.146585,0.7467189999999999,0.516146);k: (-0.07699199999999999,0.733425,0.531662)","(0.513, -0.531)",,,,,0,,,
131,pocwcpoerre,"p,o,c,w,c,p,o,e,r,r,e","p: (0.008034,0.957082,0.6890539999999999);o: (-0.185,0.928,0.48103500000000005);c: (-0.525007,0.923283,0.438);w: (-0.196022,1.35572,0.466005);c: (-0.66,0.9232809999999999,0.438);p: (0.008041,0.9296049999999999,0.68902);o: (-0.18499200000000002,0.915077,0.481025);e: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548)","(0.513, -0.531)",,,,,0,,,
137,pwkf,"p,w,k,f","p: (0.008034,0.957082,0.6890539999999999);w: (-0.196022,1.35572,0.466005);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,k,f",0,0,0.605,4
142,cptgo,"c,p,t,g,o","c: (-0.525007,0.923283,0.438);p: (0.008088,0.9570780000000001,0.689128);t: (-0.649,1.52939,0.68);g: (-0.595001,1.233,0.468999);o: (-0.184988,0.915076,0.48103100000000004)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,g",0,0,0.666,5
146,,,,"(0.513, -0.531)",,,,,0,,,
149,ppooccffkksswwggrr,"p,p,o,o,c,c,f,f,k,k,s,s,w,w,g,g,r,r","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.660004,0.923283,0.438);c: (-0.525007,0.923283,0.438);f: (-0.165225,0.7442479999999999,0.557615);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);k: (0.002996,0.733422,0.533535);s: (0.146585,0.7467189999999999,0.516146);s: (0.10966,0.7466,0.505875);w: (-0.05700499999999999,1.35572,0.46601800000000004);w: (0.083,1.35572,0.466);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
152,ppoowwccfkfk,"p,p,o,o,w,w,c,c,f,k,f,k","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662)","(0.513, -0.531)",,,,,0,,,
153,ppwwggfkssfk,"p,p,w,w,g,g,f,k,s,s,f,k","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);s: (0.146585,0.7467189999999999,0.516146);s: (0.10966,0.7466,0.505875);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (0.002996,0.733422,0.533535)","(0.513, -0.531)",,,,,0,,,
156,gpwfks,"g,p,w,f,k,s","g: (-0.595001,1.233,0.468999);g1: (-0.7159989999999999,1.23301,0.469001);p: (0.008041,0.9296049999999999,0.68902);p1: (0.008034,0.957082,0.6890539999999999);w: (-0.05700499999999999,1.35572,0.46601800000000004);w1: (-0.196022,1.35572,0.466005);f: (-0.251825,0.744246,0.557668);f1: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);k1: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);s1: (0.071911,0.746328,0.519848)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","g,w,f,k,s",0,0,0.723,6
158,cgwpw,"c,g,w,p,w","c: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);w: (0.39989,0.799442,-0.6944);p: (0.008034,0.957082,0.6890539999999999);w: (-0.05700499999999999,1.35572,0.46601800000000004)","(0.513, -0.531)",,,,,0,,,
161,cccwwwooopppgggtrreekfkskssff,"c,c,c,w,w,w,o,o,o,p,p,p,g,g,g,t,r,r,e,e,k,f,k,s,k,s,s,f,f","c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);c: (-0.7949970000000001,0.9232809999999999,0.438);w: (-0.05700499999999999,1.35572,0.46601800000000004);w: (-0.196022,1.35572,0.466005);w: (0.083,1.35572,0.466);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);o: (-0.18499200000000002,0.90217,0.481005);p: (0.008041,0.9296049999999999,0.68902);p: (0.008034,0.957082,0.6890539999999999);p: (0.008001000000000001,0.902166,0.689002);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);g: (-0.8379989999999999,1.233,0.468999);t: (-0.649,1.52939,0.68);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);s: (0.071911,0.746328,0.519848);k: (0.002996,0.733422,0.533535);s: (0.146585,0.7467189999999999,0.516146);s: (0.10966,0.7466,0.505875);f: (-0.20802600000000002,0.7442439999999999,0.557671);f: (-0.251825,0.744246,0.557668)","(0.513, -0.531)",,,,,0,,,
164,pocsfkw,"p,o,c,s,f,k,w","p: (0.008034,0.957082,0.6890539999999999);o: (-0.185,0.928,0.48103500000000005);c: (-0.7949970000000001,0.9232809999999999,0.438);s: (0.146585,0.7467189999999999,0.516146);f: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651);w: (-0.196022,1.35572,0.466005)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,s,f,k,w",0,0,0.756,7
168,,,,"(0.513, -0.531)",,,,,0,,,
172,ooccppwwggfkkf,"o,o,c,c,p,p,w,w,g,g,f,k,k,f","o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.07699199999999999,0.733425,0.531662);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671)","(0.513, -0.531)",,,,,0,,,
174,ppwwggteerrkkffssoocc,"p,p,w,w,g,g,t,e,e,r,r,k,k,f,f,s,s,o,o,c,c","p: (0.008041,0.9296049999999999,0.68902);p: (0.008034,0.957082,0.6890539999999999);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);t: (-0.649,1.52939,0.68);e: (-0.7940520000000001,0.7428739999999999,0.503884);e: (-0.765776,0.742873,0.515548);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829);k: (-0.030993,0.7334229999999999,0.530651);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);f: (-0.165225,0.7442479999999999,0.557615);s: (0.10966,0.7466,0.505875);s: (0.071911,0.746328,0.519848);o: (-0.18499200000000002,0.915077,0.481025);o: (-0.185,0.928,0.48103500000000005);c: (-0.66,0.9232809999999999,0.438);c: (-0.525007,0.923283,0.438)","(0.513, -0.531)",,,,,0,,,
177,pocgwrkfs,"p,o,c,g,w,r,k,f,s","p: (0.008034,0.957082,0.6890539999999999);o: (-0.185,0.928,0.48103500000000005);c: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);w: (-0.196022,1.35572,0.466005);r: (-0.500441,0.743324,0.5217109999999999);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.165225,0.7442479999999999,0.557615);s: (0.10966,0.7466,0.505875)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,g,w,r,k,f,s",0,0,0.806,9
178,tgcwpro,"t,g,c,w,p,r,o","t: (-0.649,1.52939,0.68);g: (-0.595001,1.233,0.468999);c: (-0.7949970000000001,0.9232809999999999,0.438);w: (-0.196022,1.35572,0.466005);p: (0.008034,0.957082,0.6890539999999999);r: (-0.500441,0.743324,0.5217109999999999);o: (-0.185,0.928,0.48103500000000005)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","g,c,w,r",0,0,0.756,7
180,ppooccgggkfsskfrr,"p,p,o,o,c,c,g,g,g,k,f,s,s,k,f,r,r","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.5250090000000001,0.923284,0.43800500000000003);c: (-0.66,0.9232809999999999,0.438);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);g: (-0.8379989999999999,1.233,0.468999);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.165225,0.7442479999999999,0.557615);s: (0.10966,0.7466,0.505875);s: (0.071911,0.746328,0.519848);k: (0.002996,0.733422,0.533535);f: (-0.20802600000000002,0.7442439999999999,0.557671);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999)","(0.513, -0.531)",,,,,0,,,
185,pgcow,"p,g,c,o,w","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);g: (-0.595001,1.233,0.468999);g1: (-0.7159989999999999,1.23301,0.469001);c: (-0.66,0.9232809999999999,0.438);c1: (-0.525007,0.923283,0.438);o: (-0.18499200000000002,0.915077,0.481025);o1: (-0.185,0.928,0.48103500000000005);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","g,c,w",0,0,0.666,5
187,opwg,"o,p,w,g","o: (-0.185,0.928,0.48103500000000005);p: (0.008034,0.957082,0.6890539999999999);w: (-0.196022,1.35572,0.466005);g: (-0.595001,1.233,0.468999)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","o,p,w,g",0,0,0.605,4
191,wpgcoowpcfksre,"w,p,g,c,o,o,w,p,c,f,k,s,r,e","w: (-0.05700499999999999,1.35572,0.46601800000000004);p: (0.008034,0.957082,0.6890539999999999);g: (-0.595001,1.233,0.468999);c: (-0.525007,0.923283,0.438);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);w: (-0.196022,1.35572,0.466005);p: (0.008041,0.9296049999999999,0.68902);c: (-0.66,0.9232809999999999,0.438);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);s: (0.10966,0.7466,0.505875);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548)","(0.513, -0.531)",,,,,0,,,
195,re,"r,e","r: (-0.606068,0.743321,0.524829);e: (-0.7940520000000001,0.7428739999999999,0.503884)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74]",t,"p,o","r,e",0,0,0.25,2
198,ptwgfks,"p,t,w,g,f,k,s","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);t: (-0.649,1.52939,0.68);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.8379989999999999,1.233,0.468999);g1: (-0.595001,1.233,0.468999);f: (-0.251825,0.744246,0.557668);f1: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662);k1: (-0.030993,0.7334229999999999,0.530651);s: (0.071911,0.746328,0.519848);s1: (0.10966,0.7466,0.505875)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,g,f,k,s",0,0,0.756,7
201,ppooccrrfkfk,"p,p,o,o,c,c,r,r,f,k,f,k","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662)","(0.513, -0.531)",,,,,0,,,
205,pockr,"p,o,c,k,r","p: (0.008041,0.9296049999999999,0.68902);p1: (0.008034,0.957082,0.6890539999999999);o: (-0.185,0.928,0.48103500000000005);o1: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c1: (-0.66,0.9232809999999999,0.438);k: (0.002996,0.733422,0.533535);k1: (-0.030993,0.7334229999999999,0.530651);r: (-0.500441,0.743324,0.5217109999999999);r1: (-0.606068,0.743321,0.524829)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,k,r",0,0,0.666,5
209,ppoocckfskfswwggrree,"p,p,o,o,c,c,k,f,s,k,f,s,w,w,g,g,r,r,e,e","p: (0.07663500000000001,0.902365,0.447553);p: (0.008823000000000001,0.929933,0.695141);o: (-0.18504,0.928154,0.48110299999999995);o: (-0.185004,0.9149219999999999,0.481049);c: (-0.490726,0.923284,0.44605);c: (-0.7949970000000001,0.9232809999999999,0.438);k: (-0.00277,0.7334350000000001,0.541497);f: (-0.190751,0.744224,0.552776);s: (0.10772000000000001,0.746711,0.516266);k: (-0.040202999999999996,0.733436,0.538085);f: (-0.144938,0.74432,0.554982);s: (0.14089100000000002,0.74721,0.521008);w: (0.098938,1.35572,0.44436400000000004);w: (-0.068993,1.35572,0.46785600000000005);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884)","(0.513, -0.531)",,,,,0,,,
212,tgpcowpgpwwccoog,"t,g,p,c,o,w,p,g,p,w,w,c,c,o,o,g","t: (-0.6427069999999999,1.5358,0.680133);g: (-0.595001,1.233,0.468999);p: (0.008034,0.957082,0.6890539999999999);c: (-0.525007,0.923283,0.438);o: (-0.185,0.928,0.48103500000000005);w: (-0.05700499999999999,1.35572,0.46601800000000004);p: (0.008041,0.9296049999999999,0.68902);g: (-0.7159989999999999,1.23301,0.469001);p: (0.008001000000000001,0.902166,0.689002);w: (-0.196022,1.35572,0.466005);w: (0.083,1.35572,0.466);c: (-0.66,0.9232809999999999,0.438);c: (-0.7949970000000001,0.9232809999999999,0.438);o: (-0.18499200000000002,0.915077,0.481025);o: (-0.18499200000000002,0.90217,0.481005);g: (-0.8379989999999999,1.233,0.468999)","(0.513, -0.531)",,,,,0,,,
215,gwpfrkst,"g,w,p,f,r,k,s,t","g: (-0.595001,1.233,0.468999);w: (-0.196022,1.35572,0.466005);p: (0.008034,0.957082,0.6890539999999999);f: (-0.20802600000000002,0.7442439999999999,0.557671);r: (-0.500441,0.743324,0.5217109999999999);k: (0.002996,0.733422,0.533535);s: (0.10966,0.7466,0.505875);t: (-0.649,1.52939,0.68)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","g,w,f,r,k,s",0,0,0.785,8
