ID,sequence,objects,coordinates,table_end,start_coordinates,strong_k,mid_k,no_k,food_k,containment,error,length
60,pooccwwggpfkfkssreer,"p,o,o,c,c,w,w,g,g,p,f,k,f,k,s,s,r,e,e,r","p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);p: (0.008001000000000001,0.902166,0.689002);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);s: (0.10966,0.7466,0.505875);s: (0.146585,0.7467189999999999,0.516146);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
61,wpofcgkrpwgfkssocr,"w,p,o,f,c,g,k,r,p,w,g,f,k,s,s,o,c,r","w: (-0.196022,1.35572,0.466005);p: (0.008034,0.957082,0.6890539999999999);o: (-0.185,0.928,0.48103500000000005);f: (-0.251825,0.744246,0.557668);c: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);k: (-0.07699199999999999,0.733425,0.531662);r: (-0.500441,0.743324,0.5217109999999999);p: (0.008041,0.9296049999999999,0.68902);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.7159989999999999,1.23301,0.469001);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);s: (0.071911,0.746328,0.519848);s: (0.10966,0.7466,0.505875);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.66,0.9232809999999999,0.438);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
69,cwpfksor,"c,w,p,f,k,s,o,r","c: (-0.525007,0.923283,0.438);c1: (-0.66,0.9232809999999999,0.438);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004);p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);f: (-0.20802600000000002,0.7442439999999999,0.557671);f1: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651);k1: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);s1: (0.146585,0.7467189999999999,0.516146);o: (-0.185,0.928,0.48103500000000005);o1: (-0.18499200000000002,0.915077,0.481025);r: (-0.606068,0.743321,0.524829);r1: (-0.500441,0.743324,0.5217109999999999)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","c,w,f,k,s,r",0,0,0.785,8
73,pwfksorc,"p,w,f,k,s,o,r,c","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004);f: (-0.165225,0.7442479999999999,0.557615);f1: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);k1: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);s1: (0.071911,0.746328,0.519848);o: (-0.185,0.928,0.48103500000000005);o1: (-0.18499200000000002,0.915077,0.481025);r: (-0.500441,0.743324,0.5217109999999999);r1: (-0.606068,0.743321,0.524829);c: (-0.525007,0.923283,0.438);c1: (-0.66,0.9232809999999999,0.438)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,f,k,s,r,c",0,0,0.785,8
76,ppooccggwwkfkfsseerr,"p,p,o,o,c,c,g,g,w,w,k,f,k,f,s,s,e,e,r,r","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);w: (0.083,1.35572,0.466);w: (-0.05700499999999999,1.35572,0.46601800000000004);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.251825,0.744246,0.557668);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);s: (0.146585,0.7467189999999999,0.516146);s: (0.10966,0.7466,0.505875);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829)","(0.513, -0.531)",,,,,0,,,
77,ppowwctgcog,"p,p,o,w,w,c,t,g,c,o,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);c: (-0.525007,0.923283,0.438);t: (-0.649,1.52939,0.68);g: (-0.595001,1.233,0.468999);c: (-0.66,0.9232809999999999,0.438);o: (-0.18499200000000002,0.915077,0.481025);g: (-0.8379989999999999,1.233,0.468999)","(0.513, -0.531)",,,,,0,,,
79,,,,"(0.513, -0.531)",,,,,0,,,
80,ppoowwggccpo,"p,p,o,o,w,w,g,g,c,c,p,o","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);p: (0.008001000000000001,0.902166,0.689002);o: (-0.18499200000000002,0.90217,0.481005)","(0.513, -0.531)",,,,,0,,,
85,pwfkt,"p,w,f,k,t","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004);f: (-0.165225,0.7442479999999999,0.557615);f1: (-0.20802600000000002,0.7442439999999999,0.557671);k: (0.002996,0.733422,0.533535);k1: (-0.030993,0.7334229999999999,0.530651);t: (-0.649,1.52939,0.68)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,f,k",0,0,0.666,5
87,ppwwookffkrrgg,"p,p,w,w,o,o,k,f,f,k,r,r,g,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.251825,0.744246,0.557668);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (0.002996,0.733422,0.533535);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001)","(0.513, -0.531)",,,,,0,,,
