demo,breakfast-cereal,cup,bowl,spoon,milk,placing_breakfast-cereal,placing_cup,placing_bowl,placing_spoon,placing_milk
v1,"[1.3349999666212127, 1.1899999916553088, 0.9399999737739563]","[1.3349999666213264, 0.6399999916553085, 0.8899999737739563]","[-1.3674999952316285, 2.219200015068054, 0.8910000205039978]","[1.3849999666213162, 0.6899999916553189, 0.8899999737739563]","[1.4649999666214817, -0.11000000834466495, 0.9399999737739563]","[-0.8674999952316285, 1.5192000150680542, 0.9410000205039978]","[-1.1674999952316285, 0.9192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.0192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.2192000150680542, 0.8910000205039978] ","[-1.3674999952316285, 0.7192000150680542, 0.9410000205039978]"
v2,"[1.3349999666212127, 1.1899999916553088, 0.9399999737739563]","[1.3349999666213264, 0.6399999916553085, 0.8899999737739563]","[-1.3674999952316285, 2.219200015068054, 0.8910000205039978]","[1.3849999666213162, 0.6899999916553189, 0.8899999737739563]","[1.4649999666214817, -0.11000000834466495, 0.9399999737739563]","[-0.8674999952316285, 1.5192000150680542, 0.9410000205039978]","[-1.1674999952316285, 0.9192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.0192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.2192000150680542, 0.8910000205039978]","[-1.3674999952316285, 0.7192000150680542, 0.9410000205039978]"
v3,"[1.3849999666213162, 0.6899999916553189, 0.9399999737739563]","[1.4649999666213265, 0.6399999916553354, 0.9399999737739563]","[1.3349999666213679, 0.43999999165530845, 0.9399999737739563]","[1.3349999666213264, 0.6399999916553085, 0.8899999737739563]","[-1.0674999952316284, 2.219200015068054, 0.8910000205039978]","[-0.8674999952316285, 1.5192000150680542, 0.9410000205039978]","[-1.1674999952316285, 0.9192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.0192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.2192000150680542, 0.8910000205039978]","[-1.3674999952316285, 0.7192000150680542, 0.9410000205039978]"
v4,"[-1.0674999952316284, 2.219200015068054, 0.8910000205039978]","[1.3849999666213162, 0.6899999916553189, 0.9399999737739563]","[1.4649999666213265, 0.6399999916553354, 0.9399999737739563]","[1.3349999666213679, 0.43999999165530845, 0.9399999737739563]","[1.3349999666213264, 0.6399999916553085, 0.8899999737739563]","[-0.8674999952316285, 1.5192000150680542, 0.9410000205039978]","[-1.1674999952316285, 0.9192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.0192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.2192000150680542, 0.8910000205039978]","[-1.3674999952316285, 0.7192000150680542, 0.9410000205039978]"
v5,"[1.3349999666213264, 0.6399999916553085, 0.8899999737739563]","[-1.0674999952316284, 2.219200015068054, 0.8910000205039978]","[1.3849999666213162, 0.6899999916553189, 0.9399999737739563]","[1.4649999666213265, 0.6399999916553354, 0.9399999737739563]","[1.3349999666213679, 0.43999999165530845, 0.9399999737739563]","[-0.8674999952316285, 1.5192000150680542, 0.9410000205039978]","[-1.1674999952316285, 0.9192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.0192000150680542, 0.8910000205039978]","[-1.3074999952316284, 1.2192000150680542, 0.8910000205039978]","[-1.3674999952316285, 0.7192000150680542, 0.9410000205039978]"
