pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,start,sequence,class,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8
bottle,bowl,fork,glass,spoon,plate,knife,cup,center,"'spoon', 'plate', 'bottle', 'knife', 'glass', 'fork', 'cup', 'bowl'",8,spoon,plate,bottle,knife,glass,fork,cup,bowl
bottle,knife,fork,plate,spoon,glass,bowl,cup,center,"'cup', 'glass', 'bowl', 'knife', 'plate', 'bottle', 'spoon', 'fork'",42,cup,glass,bowl,knife,plate,bottle,spoon,fork
fork,glass,bottle,bowl,knife,plate,cup,spoon,center,"'fork', 'knife', 'spoon', 'plate', 'cup', 'bowl', 'bottle', 'glass'",25,fork,knife,spoon,plate,cup,bowl,bottle,glass
bowl,fork,spoon,plate,glass,knife,cup,bottle,center,"'plate', 'knife', 'fork', 'spoon', 'bowl', 'glass', 'cup', 'bottle'",54,plate,knife,fork,spoon,bowl,glass,cup,bottle
bowl,spoon,fork,glass,plate,knife,bottle,cup,center,"'cup', 'plate', 'knife', 'fork', 'glass', 'spoon', 'bowl', 'bottle'",26,cup,plate,knife,fork,glass,spoon,bowl,bottle
knife,plate,bottle,fork,spoon,glass,bowl,cup,center,"'cup', 'bowl', 'glass', 'spoon', 'fork', 'bottle', 'plate', 'knife'",22,cup,bowl,glass,spoon,fork,bottle,plate,knife
cup,glass,plate,spoon,bottle,knife,fork,bowl,center,"'cup', 'glass', 'plate', 'spoon', 'bottle', 'knife', 'fork', 'bowl'",27,cup,glass,plate,spoon,bottle,knife,fork,bowl
cup,knife,fork,bottle,glass,spoon,plate,bowl,center,"'plate', 'fork', 'knife', 'spoon', 'glass', 'cup', 'bottle', 'bowl'",32,plate,fork,knife,spoon,glass,cup,bottle,bowl
glass,cup,fork,knife,plate,spoon,bottle,bowl,center,"'plate', 'cup', 'spoon', 'knife', 'fork', 'bowl', 'glass', 'bottle'",28,plate,cup,spoon,knife,fork,bowl,glass,bottle
spoon,bowl,knife,plate,fork,cup,bottle,glass,center,"'spoon', 'bowl', 'knife', 'plate', 'fork', 'cup', 'bottle', 'glass'",12,spoon,bowl,knife,plate,fork,cup,bottle,glass
fork,plate,knife,glass,bowl,spoon,bottle,cup,center,"'fork', 'plate', 'knife', 'glass', 'bowl', 'spoon', 'bottle', 'cup'",38,fork,plate,knife,glass,bowl,spoon,bottle,cup
plate,bottle,bowl,fork,glass,spoon,cup,knife,center,"'plate', 'bottle', 'bowl', 'fork', 'glass', 'spoon', 'cup', 'knife'",2,plate,bottle,bowl,fork,glass,spoon,cup,knife
cup,plate,glass,fork,knife,spoon,bottle,bowl,center,"'cup', 'plate', 'glass', 'fork', 'knife', 'spoon', 'bottle', 'bowl'",0,cup,plate,glass,fork,knife,spoon,bottle,bowl
glass,fork,cup,spoon,plate,knife,bowl,bottle,center,"'glass', 'fork', 'cup', 'spoon', 'plate', 'knife', 'bowl', 'bottle'",40,glass,fork,cup,spoon,plate,knife,bowl,bottle
cup,glass,knife,spoon,plate,bottle,fork,bowl,center,"'plate', 'knife', 'fork', 'spoon', 'bowl', 'bottle', 'glass', 'cup'",55,plate,knife,fork,spoon,bowl,bottle,glass,cup
bottle,cup,glass,spoon,fork,bowl,knife,plate,center,"'plate', 'knife', 'fork', 'spoon', 'bowl', 'glass', 'bottle', 'cup'",46,plate,knife,fork,spoon,bowl,glass,bottle,cup
bottle,glass,fork,cup,plate,spoon,knife,bowl,center,"'plate', 'bowl', 'fork', 'knife', 'spoon', 'cup', 'glass', 'bottle'",6,plate,bowl,fork,knife,spoon,cup,glass,bottle
plate,fork,glass,bottle,cup,spoon,knife,bowl,left,"'bowl', 'plate', 'knife', 'spoon', 'fork', 'cup', 'glass', 'bottle'",4,bowl,plate,knife,spoon,fork,cup,glass,bottle
cup,bottle,fork,spoon,plate,knife,bowl,glass,center,"'plate', 'bottle', 'glass', 'bowl', 'knife', 'fork', 'spoon', 'cup'",44,plate,bottle,glass,bowl,knife,fork,spoon,cup
knife,bowl,fork,bottle,spoon,cup,plate,glass,left,"'plate', 'cup', 'glass', 'bottle', 'fork', 'knife', 'spoon', 'bowl'",1,plate,cup,glass,bottle,fork,knife,spoon,bowl
bottle,glass,knife,fork,bowl,plate,spoon,cup,left,"'plate', 'cup', 'spoon', 'bowl', 'fork', 'knife', 'glass', 'bottle'",47,plate,cup,spoon,bowl,fork,knife,glass,bottle
bottle,fork,cup,glass,knife,bowl,spoon,plate,left,"'plate', 'bowl', 'spoon', 'knife', 'fork', 'glass', 'cup', 'bottle'",5,plate,bowl,spoon,knife,fork,glass,cup,bottle
plate,spoon,cup,glass,fork,bowl,bottle,knife,center,"'plate', 'spoon', 'cup', 'glass', 'fork', 'bowl', 'bottle', 'knfie'",56,plate,spoon,cup,glass,fork,bowl,bottle,knife
bottle,spoon,glass,fork,plate,knife,cup,bowl,center,"'plate', 'fork', 'knife', 'cup', 'bowl', 'glass', 'spoon', 'bottle'",52,plate,fork,knife,cup,bowl,glass,spoon,bottle
bottle,plate,spoon,glass,fork,knife,cup,bowl,center,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle'",45,plate,knife,fork,spoon,glass,cup,bowl,bottle
