fitted_on_ts_all,fitted_on_all_all,ID,fitted_on_cooking_all
7.0,6.0,s15-d70,6.0
8.0,6.0,s17-d42,6.0
3.0,3.0,s17-d48,3.0
4.0,3.0,s17-d53,3.0
4.0,3.0,s17-d55,3.0
10.0,8.0,s17-d69,8.0
5.0,4.0,s21-d21,4.0
5.0,4.0,s21-d23,5.0
1.0,2.0,s21-d28,2.0
3.0,0.0,s21-d35,1.0
5.0,5.0,s21-d39,5.0
4.0,3.0,s21-d40,3.0
5.0,4.0,s21-d42,4.0
6.0,4.0,s21-d43,4.0
4.0,3.0,s21-d45,3.0
4.0,3.0,s21-d55,3.0
3.0,2.0,s22-d25,2.0
4.0,4.0,s22-d26,4.0
3.0,2.0,s22-d29,2.0
3.0,2.0,s22-d34,2.0
3.0,2.0,s22-d35,2.0
4.0,4.0,s22-d43,4.0
4.0,2.0,s22-d46,2.0
3.0,2.0,s22-d48,2.0
4.0,3.0,s22-d53,3.0
3.0,2.0,s22-d55,2.0
4.0,4.0,s23-d21,4.0
4.0,3.0,s23-d31,3.0
4.0,3.0,s23-d34,3.0
4.0,3.0,s23-d39,3.0
4.0,3.0,s23-d42,3.0
4.0,3.0,s23-d45,3.0
4.0,3.0,s23-d46,3.0
5.0,4.0,s23-d51,4.0
5.0,3.0,s23-d54,3.0
4.0,4.0,s24-d23,4.0
2.0,2.0,s24-d28,1.0
4.0,2.0,s24-d34,2.0
4.0,3.0,s24-d40,3.0
4.0,3.0,s24-d41,3.0
3.0,3.0,s24-d48,3.0
3.0,1.0,s24-d53,1.0
3.0,3.0,s25-d23,3.0
3.0,2.0,s25-d35,2.0
3.0,1.0,s25-d51,1.0
4.0,4.0,s25-d52,4.0
7.0,5.0,s25-d69,5.0
4.0,4.0,s26-d23,4.0
16.0,12.0,s26-d26,12.0
9.0,7.0,s26-d69,7.0
6.0,5.0,s26-d70,5.0
3.0,2.0,s27-d21,2.0
4.0,3.0,s27-d29,3.0
3.0,3.0,s27-d45,3.0
1.0,0.0,s27-d50,0.0
7.0,6.0,s27-d54,6.0
7.0,7.0,s27-d70,7.0
4.0,3.0,s28-d25,3.0
8.0,6.0,s28-d27,6.0
14.0,10.0,s28-d39,10.0
5.0,4.0,s28-d46,4.0
11.0,9.0,s28-d51,9.0
3.0,2.0,s29-d31,2.0
7.0,5.0,s29-d39,5.0
9.0,8.0,s29-d42,8.0
2.0,2.0,s29-d50,2.0
4.0,3.0,s29-d52,3.0
8.0,7.0,s30-d26,7.0
4.0,4.0,s30-d29,4.0
4.0,3.0,s30-d40,3.0
4.0,4.0,s30-d41,4.0
7.0,7.0,s30-d43,7.0
5.0,5.0,s30-d52,5.0
7.0,5.0,s30-d53,5.0
4.0,3.0,s31-d25,3.0
5.0,4.0,s31-d28,4.0
4.0,3.0,s31-d31,3.0
9.0,7.0,s32-d27,7.0
5.0,4.0,s32-d52,4.0
5.0,5.0,s32-d55,5.0
8.0,7.0,s32-d69,7.0
7.0,6.0,s32-d70,6.0
6.0,4.0,s33-d27,4.0
4.0,4.0,s33-d45,4.0
3.0,4.0,s33-d50,4.0
2.0,3.0,s33-d54,3.0
8.0,7.0,s34-d28,7.0
8.0,6.0,s34-d34,6.0
6.0,6.0,s34-d41,6.0
7.0,6.0,s34-d69,7.0
6.0,5.0,s35-d40,4.0
6.0,5.0,s35-d41,5.0
4.0,3.0,s35-d48,3.0
4.0,3.0,s35-d55,3.0
10.0,7.0,s36-d23,7.0
5.0,4.0,s36-d27,4.0
3.0,3.0,s36-d31,3.0
9.0,7.0,s36-d42,7.0
10.0,8.0,s36-d43,9.0
3.0,2.0,s36-d50,2.0
5.0,3.0,s36-d70,3.0
6.0,5.0,s37-d21,5.0
3.0,3.0,s37-d25,3.0
4.0,3.0,s37-d29,3.0
8.0,6.0,s37-d39,6.0
3.0,3.0,s37-d46,3.0
