0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
j,q,p,f,s,k,a,g,c,b,,,,,,,,,
j,q,p,s,k,f,c,a,g,b,,,,,,,,,
j,q,p,f,k,s,c,a,g,b,,,,,,,,,
j,q,p,s,f,k,g,a,c,b,,,,,,,,,
j,q,p,f,k,b,s,c,g,a,,,,,,,,,
j,q,p,c,g,a,f,k,b,s,,,,,,,,,
j,q,g,p,a,b,k,f,s,c,,,,,,,,,
j,q,p,a,b,k,g,c,f,s,,,,,,,,,
j,q,g,c,p,a,b,k,f,s,,,,,,,,,
j,q,p,a,s,b,k,f,g,c,,,,,,,,,
j,q,p,a,b,c,g,k,s,f,,,,,,,,,
j,q,s,f,k,p,c,g,a,b,,,,,,,,,
j,q,s,p,g,b,k,f,c,a,,,,,,,,,
j,q,s,p,a,k,g,f,c,b,,,,,,,,,
j,q,c,g,b,k,p,a,s,f,,,,,,,,,
j,q,f,k,s,p,c,b,a,g,,,,,,,,,
j,q,p,k,f,s,b,g,c,a,,,,,,,,,
j,q,c,p,k,f,g,s,b,a,,,,,,,,,
j,q,c,b,g,s,f,a,p,k,,,,,,,,,
j,q,c,g,p,s,a,k,f,b,,,,,,,,,
j,q,p,f,k,s,g,c,a,b,,,,,,,,,
j,q,p,c,s,k,f,b,g,a,,,,,,,,,
j,q,s,b,k,p,f,c,a,g,,,,,,,,,
j,q,f,p,k,g,b,s,a,c,,,,,,,,,
j,q,p,a,b,f,g,s,c,k,,,,,,,,,
j,q,c,p,g,f,k,s,a,b,,,,,,,,,
j,q,g,f,c,s,p,k,o,b,,,,,,,,,
j,q,p,k,f,s,b,a,g,c,,,,,,,,,
j,q,p,k,f,s,b,g,a,c,,,,,,,,,
j,q,p,b,f,k,s,c,g,a,,,,,,,,,
j,q,b,p,k,s,f,c,g,a,,,,,,,,,
j,q,p,a,g,b,k,f,s,c,,,,,,,,,
j,q,p,c,g,a,f,k,s,b,,,,,,,,,
j,q,p,c,s,b,f,k,g,a,,,,,,,,,
j,q,p,b,s,k,f,g,c,a,,,,,,,,,
j,q,p,s,c,g,f,b,a,k,,,,,,,,,
j,q,p,f,k,c,b,g,s,a,,,,,,,,,
j,q,p,k,f,s,g,c,b,a,,,,,,,,,
j,q,p,c,f,k,s,a,g,b,,,,,,,,,
j,q,p,b,c,f,s,k,g,a,,,,,,,,,
j,q,p,b,f,k,c,s,g,a,,,,,,,,,
j,q,p,c,s,f,k,b,g,a,,,,,,,,,
j,q,p,k,f,s,a,b,g,c,,,,,,,,,
j,q,p,k,f,s,g,c,b,a,,,,,,,,,
j,q,p,k,f,s,g,c,b,a,,,,,,,,,
j,q,p,k,f,s,g,c,a,b,,,,,,,,,
j,q,p,k,f,b,s,c,a,g,,,,,,,,,
j,q,p,k,b,s,f,g,c,a,,,,,,,,,
j,q,p,k,f,b,s,c,g,a,,,,,,,,,
j,q,p,k,f,s,b,g,a,c,,,,,,,,,
j,q,p,k,f,s,a,g,b,c,,,,,,,,,
j,q,p,k,f,s,g,c,a,b,,,,,,,,,
j,q,p,k,f,s,g,c,b,a,,,,,,,,,
j,q,p,k,f,s,g,c,a,b,,,,,,,,,
j,q,p,k,f,s,a,c,g,b,,,,,,,,,
j,q,p,k,f,s,b,c,g,a,,,,,,,,,
j,q,p,f,s,k,b,c,g,a,,,,,,,,,
j,q,p,b,k,f,s,c,g,a,,,,,,,,,
j,q,p,f,s,k,b,g,c,a,,,,,,,,,
j,q,h,h,s,d,b,,,,,,,,,,,,
j,q,h,h,h,d,s,g,b,,,,,,,,,,
j,q,h,h,s,g,d,b,,,,,,,,,,,
j,q,h,h,d,s,b,g,,,,,,,,,,,
j,q,h,h,s,g,d,b,,,,,,,,,,,
j,q,h,h,d,s,g,b,,,,,,,,,,,
j,q,d,s,g,b,h,h,,,,,,,,,,,
j,q,h,h,s,d,b,g,,,,,,,,,,,
j,q,h,h,s,d,g,b,,,,,,,,,,,
j,q,h,h,s,g,d,b,,,,,,,,,,,
j,q,h,h,s,g,d,b,,,,,,,,,,,
j,q,h,h,s,d,g,b,,,,,,,,,,,
