fitted_on_ts_all,fitted_on_all_all,ID,fitted_on_cooking_all
3,3,s37-d25,3
4,3,s37-d29,3
8,6,s37-d39,6
3,3,s37-d46,3
3,3,median,3
3.6084142394822,3.16504854368932,mean,3.41100323624595
2,2,median_ts,3
2.67741935483871,2.61290322580645,mean_ts,3.00537634408602
4,3,median_cooking,3
5.00806451612903,4,mean_cooking,4.03225806451613
