,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
bottle,22.058823529411764,11.76470588235294,10.294117647058822,11.76470588235294,5.88235294117647,8.823529411764707,14.705882352941178,14.705882352941178
bowl,13.23529411764706,10.294117647058822,2.941176470588235,8.823529411764707,11.76470588235294,7.352941176470589,19.11764705882353,26.47058823529412
cup,19.11764705882353,13.23529411764706,8.823529411764707,8.823529411764707,7.352941176470589,10.294117647058822,13.23529411764706,19.11764705882353
fork,7.352941176470589,13.23529411764706,25.0,17.647058823529413,13.23529411764706,11.76470588235294,5.88235294117647,5.88235294117647
glass,16.176470588235293,16.176470588235293,14.705882352941178,13.23529411764706,11.76470588235294,11.76470588235294,7.352941176470589,8.823529411764707
knife,2.941176470588235,13.23529411764706,16.176470588235293,13.23529411764706,14.705882352941178,19.11764705882353,13.23529411764706,7.352941176470589
plate,11.76470588235294,13.23529411764706,7.352941176470589,14.705882352941178,17.647058823529413,13.23529411764706,11.76470588235294,10.294117647058822
spoon,7.352941176470589,8.823529411764707,14.705882352941178,11.76470588235294,17.647058823529413,17.647058823529413,14.705882352941178,7.352941176470589
